Observation,Reason
2219,lab1 is too high
2219,own2 is too low
2219,vacancy_rate is too low
670,walk_score_comm is too low
670,own2 is too low
12302,pop1 is too high
12302,pop2 is too high
12302,inc3 is too low
12302,pop3 is too high
12302,pop4 is too high
12302,inc1 is too low
15138,inc3 is too high
15138,lab1 is too high
15138,inc1 is too high
15138,inc2 is too high
3107,inc3 is too high
3107,lab1 is too high
3107,walk_score_comm is too low
3107,inc1 is too high
3107,inc2 is too high
458,inc3 is too high
458,inc1 is too high
9312,inc3 is too low
9312,lab1 is too low
9312,walk_score_comm is too low
9312,inc2 is too low
9312,vacancy_rate is too low
7621,lab1 is too high
7169,pop1 is too high
7169,pop2 is too high
7169,inc3 is too high
7169,pop3 is too high
7169,inc1 is too high
13682,own2 is too low
9190,lab1 is too high
9190,walk_score_comm is too low
9190,vacancy_rate is too low
15410,pop4 is too high
13716,inc2 is too low
10426,walk_score_comm is too low
10426,inc2 is too low
10426,own2 is too low
10426,vacancy_rate is too low
4206,pop1 is too high
4206,pop2 is too high
4206,inc3 is too low
4206,lab1 is too low
4206,walk_score_comm is too low
4206,pop3 is too high
4206,pop4 is too high
4206,inc1 is too low
4206,inc2 is too low
4206,vacancy_rate is too low
12821,lab1 is too high
12821,inc2 is too low
12821,vacancy_rate is too low
650,walk_score_comm is too low
650,own2 is too low
1645,inc3 is too high
1645,lab1 is too high
1645,inc1 is too high
1645,inc2 is too high
5888,pop1 is too high
5888,pop2 is too high
5888,pop3 is too high
5888,pop4 is too high
14010,walk_score_comm is too low
6182,pop1 is too high
6182,pop3 is too high
6182,pop4 is too high
15301,inc3 is too high
15301,inc1 is too high
15301,inc2 is too high
15301,vacancy_rate is too low
6650,walk_score_comm is too low
6650,inc2 is too high
6650,own2 is too low
6650,vacancy_rate is too low
10986,inc3 is too low
10986,lab1 is too low
10986,inc1 is too low
10986,own2 is too low
10986,vacancy_rate is too low
3115,inc3 is too high
3115,lab1 is too high
3115,inc1 is too high
3115,inc2 is too high
3998,pop1 is too high
3998,pop2 is too high
3998,pop3 is too high
3998,pop4 is too high
3998,own2 is too low
12765,inc3 is too low
12765,lab1 is too low
12765,walk_score_comm is too low
12765,pop4 is too high
12765,inc1 is too low
2422,inc3 is too low
2422,inc1 is too low
2184,lab1 is too high
2184,walk_score_comm is too low
2184,own2 is too low
11958,inc3 is too high
11958,walk_score_comm is too low
11958,inc1 is too high
11958,inc2 is too high
11958,vacancy_rate is too low
494,lab1 is too high
5564,inc3 is too high
5564,inc1 is too high
5564,inc2 is too high
2174,pop1 is too high
2174,pop2 is too high
2174,inc3 is too high
2174,lab1 is too high
2174,pop3 is too high
2174,inc1 is too high
12578,inc3 is too low
12578,pop4 is too high
12578,inc1 is too low
2305,lab1 is too high
8974,pop4 is too high
8974,inc2 is too low
11515,own2 is too low
6897,walk_score_comm is too low
6897,own2 is too low
6006,pop1 is too high
6006,pop2 is too high
6006,inc3 is too low
6006,lab1 is too low
6006,pop3 is too high
6006,pop4 is too high
6006,inc1 is too low
6006,inc2 is too low
2258,pop1 is too high
2258,pop2 is too high
2258,inc3 is too high
2258,lab1 is too high
2258,pop3 is too high
2258,inc1 is too high
11834,pop4 is too high
4597,pop1 is too high
4597,pop2 is too high
4597,pop3 is too high
4597,pop4 is too high
4597,own2 is too low
4597,vacancy_rate is too low
4650,pop1 is too high
4650,pop2 is too high
4650,walk_score_comm is too low
4650,pop3 is too high
4650,pop4 is too high
4650,own2 is too low
1581,inc3 is too high
1581,lab1 is too high
1581,inc1 is too high
1581,inc2 is too high
1581,own2 is too low
3392,inc3 is too high
3392,inc1 is too high
3392,inc2 is too high
15030,walk_score_comm is too low
15030,own2 is too low
4814,pop1 is too high
4814,pop2 is too high
4814,pop3 is too high
4814,pop4 is too high
12730,inc2 is too high
12200,inc3 is too high
12200,inc1 is too high
12200,inc2 is too high
94,inc3 is too high
94,inc1 is too high
94,inc2 is too high
3254,inc3 is too high
3254,lab1 is too high
3254,inc1 is too high
3254,inc2 is too high
8330,inc3 is too low
8330,lab1 is too high
8330,inc1 is too low
8330,own2 is too low
8330,vacancy_rate is too low
1968,inc3 is too high
1968,lab1 is too low
1968,walk_score_comm is too low
1968,inc1 is too high
1968,vacancy_rate is too low
6651,inc2 is too high
6651,own2 is too low
9950,inc3 is too low
9950,lab1 is too high
9950,inc1 is too low
9950,inc2 is too low
2160,pop1 is too high
2160,pop2 is too high
2160,inc3 is too high
2160,lab1 is too high
2160,walk_score_comm is too low
2160,pop3 is too high
2160,inc1 is too high
2160,vacancy_rate is too low
7546,inc3 is too low
7546,lab1 is too high
7546,inc1 is too low
7546,own2 is too low
12457,inc2 is too high
12457,own2 is too low
12457,vacancy_rate is too low
2614,pop1 is too high
2614,pop2 is too high
2614,inc3 is too low
2614,pop3 is too high
2614,pop4 is too high
2614,inc1 is too low
6174,pop1 is too high
6174,walk_score_comm is too low
6174,pop3 is too high
6174,pop4 is too high
6174,vacancy_rate is too low
6286,inc2 is too low
5894,pop1 is too high
5894,pop2 is too high
5894,pop3 is too high
5894,pop4 is too high
5894,own2 is too low
5894,vacancy_rate is too low
1623,inc3 is too high
1623,lab1 is too high
1623,walk_score_comm is too low
1623,inc1 is too high
1623,inc2 is too high
1623,own2 is too low
6200,pop1 is too high
6200,walk_score_comm is too low
6200,pop3 is too high
6200,pop4 is too high
6200,own2 is too low
12358,lab1 is too high
3816,pop4 is too high
3816,own2 is too low
3816,vacancy_rate is too low
10992,walk_score_comm is too low
10992,own2 is too low
14222,lab1 is too high
3946,pop1 is too high
3946,pop2 is too high
3946,inc3 is too low
3946,pop3 is too high
3946,pop4 is too high
3946,inc1 is too low
672,own2 is too low
672,vacancy_rate is too low
10080,lab1 is too high
10080,inc2 is too low
4642,pop1 is too high
4642,pop2 is too high
4642,pop3 is too high
4642,pop4 is too high
4724,pop1 is too high
4724,pop2 is too high
4724,pop3 is too high
4724,pop4 is too high
4724,own2 is too low
2553,walk_score_comm is too low
2553,own2 is too low
3341,inc3 is too high
3341,inc1 is too high
3341,inc2 is too high
10478,inc2 is too low
9860,lab1 is too high
9860,inc1 is too low
37,inc3 is too high
